230316, 버섯류, 표고버섯, 표고버섯,1,0,270,,
230316, 과일과채류, 참외, 금싸라기,1,0,625,,
230316, 과일과채류, 딸기, 설향,1,0,425,,
230316, 과일과채류, 딸기, 장희,1,0,380,,
230316, 엽경채류, 상추, 청상추,1,0,192.5,,
230316, 과일과채류, 토마토, 토마토,1,0,220,,
230316, 과일과채류, 수박, 수박,1,0,300,,
230316, 과일과채류, 딸기, 설향,1,0,625,,
230316, 과일과채류, 딸기, 기타딸기,1,0,680,,
230316, 과일과채류, 참외, 기타참외,1,0,600,,
230316, 과일과채류, 딸기, 설향,1,0,700,,
230316, 과일과채류, 딸기, 설향,1,0,250,,
230316, 과일과채류, 참외, 기타참외,1,0,600,,
230316, 과실류, 금감, 금감,1,0,350,,
230316, 과일과채류, 참외, 오복,1,0,796,,
230316, 과일과채류, 딸기, 장희,1,0,480,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,340,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,340,,
230316, 과일과채류, 딸기, 금실,1,0,350,,
230316, 과일과채류, 딸기, 금실,1,0,520,,
230316, 서류, 고구마, 기타,1,0,90,,
230316, 과일과채류, 참외, 금싸라기,1,0,665,,
230316, 과일과채류, 딸기, 설향,1,0,350,,
230316, 엽경채류, 청경채, 청경채,1,0,100,,
230316, 엽경채류, 상추, 청상추,1,0,210,,
230316, 과일과채류, 토마토, 토마토,1,0,200,,
230316, 과실류, 사과, 후지,1,0,220,,
230316, 엽경채류, 상추, 청상추,1,0,150,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,102,,
230316, 엽경채류, 냉이, 일반냉이,1,0,222.22223,,
230316, 과일과채류, 딸기, 장희,1,0,860,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,102,,
230316, 과일과채류, 딸기, 설향,1,0,460,,
230316, 과일과채류, 딸기, 설향,1,0,425,,
230316, 엽경채류, 쑥, 쑥,1,0,1800,,
230316, 엽경채류, 상추, 청상추,1,0,205,,
230316, 과일과채류, 딸기, 설향,1,0,425,,
230316, 과일과채류, 딸기, 설향,1,0,425,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,320,,
230316, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,170,,
230316, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,170,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 과일과채류, 딸기, 설향,1,0,425,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,320,,
230316, 엽경채류, 시금치, 시금치,1,0,95,,
230316, 과일과채류, 참외, 금싸라기,1,0,650,,
230316, 과실류, 금감, 금감,1,0,400,,
230316, 엽경채류, 깻잎, 깻잎,1,0,725,,
230316, 과실류, 금감, 금감,1,0,400,,
230316, 과일과채류, 참외, 기타참외,1,0,706,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,435,,
230316, 과일과채류, 딸기, 설향,1,0,425,,
230316, 과실류, 사과, 후지,1,0,256,,
230316, 엽경채류, 시금치, 시금치,1,0,12.5,,
230316, 엽경채류, 머위대, 머위잎,1,0,1390,,
230316, 과일과채류, 딸기, 설향,1,0,600,,
230316, 엽경채류, 시금치, 시금치,1,0,12.5,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,380,,
230316, 엽경채류, 상추, 청상추,1,0,300,,
230316, 과일과채류, 딸기, 설향,1,0,560,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,380,,
230316, 엽경채류, 부추, 일반부추,1,0,400,,
230316, 과일과채류, 딸기, 기타딸기,1,0,750,,
230316, 과일과채류, 참외, 기타참외,1,0,759,,
230316, 과실류, 사과, 후지,1,0,175,,
230316, 과일과채류, 딸기, 설향,1,0,600,,
230316, 과일과채류, 토마토, 토마토,1,0,120,,
230316, 엽경채류, 상추, 청상추,1,0,290,,
230316, 과일과채류, 토마토, 토마토,1,0,120,,
230316, 과일과채류, 참외, 금싸라기,1,0,740,,
230316, 산채류, 취나물, 기타취나물,1,0,725,,
230316, 과실류, 사과, 후지,1,0,260,,
230316, 과일과채류, 딸기, 설향,1,0,700,,
230316, 과일과채류, 딸기, 설향,1,0,300,,
230316, 엽경채류, 상추, 청상추,1,0,182.5,,
230316, 과일과채류, 딸기, 기타딸기,1,0,1020,,
230316, 과일과채류, 토마토, 토마토,1,0,260,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,136,,
230316, 엽경채류, 부추, 일반부추,1,0,400,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,360,,
230316, 과실류, 금감, 금감,1,0,440,,
230316, 과일과채류, 참외, 기타참외,1,0,811,,
230316, 과실류, 사과, 후지,1,0,191,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,360,,
230316, 과일과채류, 딸기, 죽향,1,0,1230,,
230316, 과실류, 감귤, 천혜향,1,0,473.33334,,
