230403, 엽경채류, 머위대, 머위잎, 1, 0, 830.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 300.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 580.0
230403, 과실류, 배, 신고, 1, 0, 152.66667
230403, 과일과채류, 참외, 금싸라기, 1, 0, 400.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 566.6667
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 232.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 330.0
230403, 과일과채류, 수박, 기타수박, 1, 0, 325.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 480.0
230403, 산채류, 민들레, 민들레, 1, 0, 500.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 330.0
230403, 조미채소류, 대파, 대파, 1, 0, 102.5
230403, 엽경채류, 깻잎, 기타깻잎, 1, 0, 600.0
230403, 과실류, 사과, 후지, 1, 0, 140.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 475.0
230403, 과실류, 만감, 진지향, 1, 0, 350.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 535.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 290.0
230403, 과일과채류, 참외, 참외, 1, 0, 337.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 325.0
230403, 과채류, 호박, 애호박, 1, 0, 295.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 260.0
230403, 과실류, 사과, 미시마, 1, 0, 250.0
230403, 과일과채류, 딸기, 설향, 1, 0, 150.0
230403, 과일과채류, 메론, 파파야계, 1, 0, 310.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 125.0
230403, 과실류, 용과, 용과, 1, 0, 360.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 125.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 530.0
230403, 엽경채류, 쌈추, 쌈추, 1, 0, 800.0
230403, 조미채소류, 마늘, 깐마늘 대서, 1, 0, 630.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 양채류, 양상추, 기타양상추, 1, 0, 36.363636
230403, 과실류, 사과, 미얀마, 1, 0, 396.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 685.0
230403, 과실류, 사과, 미얀마, 1, 0, 389.5
230403, 과일과채류, 딸기, 설향, 1, 0, 320.0
230403, 과실류, 사과, 미얀마, 1, 0, 344.5
230403, 과실류, 사과, 미시마, 1, 0, 265.0
230403, 엽경채류, 상추, 꽃적상추, 1, 0, 350.0
230403, 과일과채류, 참외, 조은대, 1, 0, 669.0
