230403, 과실류, 사과, 후지, 1, 0, 180.0
230403, 양채류, 로메인, 로메인, 1, 0, 217.5
230403, 엽경채류, 양배추, 양배추, 1, 0, 50.0
230403, 양채류, 파프리카, 파프리카, 1, 0, 475.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 245.0
230403, 양채류, 로메인, 로메인, 1, 0, 217.5
230403, 과일과채류, 토마토, 토마토, 1, 0, 386.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 245.0
230403, 과실류, 단감, 부유, 1, 0, 400.0
230403, 과일과채류, 참외, 스마트꿀, 1, 0, 580.0
230403, 과실류, 참다래(키위), 참다래, 1, 0, 120.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 510.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 50.0
230403, 과실류, 만감, 기타만감, 1, 0, 500.0
230403, 과실류, 사과, 후지, 1, 0, 130.0
230403, 과실류, 곶감, 곶감, 1, 0, 550.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 204.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 490.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1200.0
230403, 엽경채류, 상추, 청상추, 1, 0, 387.5
230403, 과일과채류, 딸기, 설향, 1, 0, 770.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 470.0
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 510.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 1160.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 480.0
230403, 과일과채류, 딸기, 죽향, 1, 0, 500.0
230403, 과실류, 포도, 포도, 0, 0, 300.0
230403, 엽경채류, 열무, 열무, 1, 0, 90.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과일과채류, 참외, 오복, 1, 0, 686.0
230403, 서류, 고구마, 기타, 1, 0, 86.0
230403, 과일과채류, 딸기, 장희, 1, 0, 400.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 120.0
230403, 엽경채류, 머위대, 생머위대, 1, 0, 182.5
230403, 과실류, 만감, 한라봉, 1, 0, 388.0
230403, 과일과채류, 딸기, 설향, 1, 0, 380.0
230403, 과일과채류, 딸기, 죽향, 1, 0, 800.0
230403, 과일과채류, 딸기, 산딸기, 1, 0, 2200.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 488.0
230403, 엽경채류, 시금치, 시금치, 1, 0, 252.0
230403, 과일과채류, 딸기, 산딸기, 1, 0, 2200.0
230403, 과채류, 오이, 가시오이, 1, 0, 190.0
230403, 과일과채류, 딸기, 장희, 1, 0, 866.6667
230403, 과실류, 만감, 한라봉, 1, 0, 406.0
230403, 과일과채류, 딸기, 장희, 1, 0, 733.3333
230403, 과일과채류, 딸기, 산딸기, 1, 0, 2200.0
230403, 과채류, 오이, 백다다기, 1, 0, 205.55556
230403, 서류, 고구마, 기타, 1, 0, 115.0
230403, 서류, 고구마, 기타, 1, 0, 102.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 375.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 480.0
230403, 수실류, 곶감, 곶감, 1, 0, 1262.5
230403, 과실류, 사과, 후지, 1, 0, 181.0
230403, 과실류, 만감, 한라봉, 1, 0, 442.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 380.0
230403, 과일과채류, 참외, 오복, 1, 0, 460.0
230403, 과일과채류, 딸기, 설향, 1, 0, 950.0
230403, 서류, 고구마, 밤고구마, 1, 0, 125.0
230403, 과채류, 오이, 가시오이, 1, 0, 261.81818
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 700.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 560.0
230403, 엽경채류, 깻잎, 기타깻잎, 1, 0, 400.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 566.6667
230403, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 902.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 270.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 155.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 260.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 81.0
230403, 엽경채류, 상추, 청상추, 1, 0, 395.0
230403, 과채류, 호박, 애호박, 1, 0, 331.25
230403, 과일과채류, 토마토, 토마토, 1, 0, 272.0
230403, 조미채소류, 방아, 방아, 1, 0, 45.0
230403, 산채류, 두릅, 두릅, 1, 0, 1650.0
230403, 과채류, 오이, 백다다기, 1, 0, 170.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 450.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 205.0
230403, 과실류, 사과, 기타사과, 1, 0, 470.0
230403, 근채류, 우엉, 우엉, 1, 0, 213.0
230403, 서류, 고구마, 밤고구마, 1, 0, 120.0
230403, 엽경채류, 상추, 청상추, 1, 0, 370.0
230403, 조미채소류, 양파, 양파, 1, 0, 140.0
230403, 과채류, 호박, 단호박, 1, 0, 265.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 참외, 참외, 1, 0, 430.0
230403, 엽경채류, 상추, 청상추, 1, 0, 437.5
230403, 과일과채류, 딸기, 설향, 1, 0, 900.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 170.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 274.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과채류, 오이, 백다다기, 1, 0, 226.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 720.0
