deal_date,large,medium,소,origin,income,가격
20230313,소,등심,1등급,korea,9235,9235,9235
20230313,소,설도,1++등급,korea,4764,4764,4764
20230313,소,설도,1+등급,korea,4246,4246,4246
20230313,소,설도,1등급,korea,4038,4038,4038
20230313,소,양지,1++등급,korea,6359,6359,6359
20230313,소,양지,1+등급,korea,5576,5576,5576
20230313,소,양지,1등급,korea,5413,5413,5413
20230313,소,갈비,1++등급,korea,8653,8653,8653
20230313,소,갈비,1+등급,korea,7183,7183,7183
20230313,소,갈비,1등급,korea,6849,6849,6849
20230313,돼지,앞다리,앞다리,korea,1264,1264,1264
20230313,돼지,삼겹살,삼겹살,korea,2247,2247,2247
20230313,돼지,갈비,갈비,korea,1310,1310,1310
20230313,돼지,목심,목심,korea,2055,2055,2055
20230313,수입 소고기,갈비,미국산,income,3759,3759,3759
20230313,수입 소고기,갈비,호주산,income,4069,4069,4069
20230313,수입 소고기,갈비살,미국산,income,4318,4318,4318
20230313,수입 돼지고기,삼겹살,삼겹살,income,1472,1472,1472
20230313,닭,육계(kg),육계(kg),korea,6008,6008,6008
20230313,계란,특란10구,일반란,korea,3795,3795,3795
20230313,계란,특란30구,일반란,korea,6028,6028,6028
20230313,우유,흰우유,흰우유,korea,2883,2883,2883
20230314,소,안심,1++등급,korea,14808,14808,14808
20230314,소,안심,1+등급,korea,13205,13205,13205
20230314,소,안심,1등급,korea,12156,12156,12156
20230314,소,등심,1++등급,korea,13173,13173,13173
20230314,소,등심,1+등급,korea,10530,10530,10530
20230314,소,등심,1등급,korea,9229,9229,9229
20230314,소,설도,1++등급,korea,4746,4746,4746
20230314,소,설도,1+등급,korea,4243,4243,4243
20230314,소,설도,1등급,korea,4039,4039,4039
20230314,소,양지,1++등급,korea,6347,6347,6347
20230314,소,양지,1+등급,korea,5574,5574,5574
20230314,소,양지,1등급,korea,5412,5412,5412
20230314,소,갈비,1++등급,korea,8653,8653,8653
20230314,소,갈비,1+등급,korea,7213,7213,7213
20230314,소,갈비,1등급,korea,6838,6838,6838
20230314,돼지,앞다리,앞다리,korea,1264,1264,1264
20230314,돼지,삼겹살,삼겹살,korea,2246,2246,2246
20230314,돼지,갈비,갈비,korea,1310,1310,1310
20230314,돼지,목심,목심,korea,2056,2056,2056
20230314,수입 소고기,갈비,미국산,income,3759,3759,3759
20230314,수입 소고기,갈비,호주산,income,4069,4069,4069
20230314,수입 소고기,갈비살,미국산,income,4318,4318,4318
20230314,수입 돼지고기,삼겹살,삼겹살,income,1471,1471,1471
20230314,닭,육계(kg),육계(kg),korea,6008,6008,6008
20230314,계란,특란10구,일반란,korea,3779,3779,3779
20230314,계란,특란30구,일반란,korea,6028,6028,6028
20230314,우유,흰우유,흰우유,korea,2883,2883,2883
20230315,소,안심,1++등급,korea,14836,14836,14836
20230315,소,안심,1+등급,korea,13211,13211,13211
20230315,소,안심,1등급,korea,12145,12145,12145
20230315,소,등심,1++등급,korea,13181,13181,13181
20230315,소,등심,1+등급,korea,10514,10514,10514
20230315,소,등심,1등급,korea,9243,9243,9243
20230315,소,설도,1++등급,korea,4750,4750,4750
20230315,소,설도,1+등급,korea,4240,4240,4240
20230315,소,설도,1등급,korea,4033,4033,4033
20230315,소,양지,1++등급,korea,6357,6357,6357
20230315,소,양지,1+등급,korea,5570,5570,5570
20230315,소,양지,1등급,korea,5408,5408,5408
20230315,소,갈비,1++등급,korea,8653,8653,8653
20230315,소,갈비,1+등급,korea,7213,7213,7213
20230315,소,갈비,1등급,korea,6838,6838,6838
20230315,돼지,앞다리,앞다리,korea,1261,1261,1261
20230315,돼지,삼겹살,삼겹살,korea,2244,2244,2244
20230315,돼지,갈비,갈비,korea,1308,1308,1308
20230315,돼지,목심,목심,korea,2053,2053,2053
20230315,수입 소고기,갈비,미국산,income,3759,3759,3759
20230315,수입 소고기,갈비,호주산,income,4069,4069,4069
20230315,수입 소고기,갈비살,미국산,income,4329,4329,4329
20230315,수입 돼지고기,삼겹살,삼겹살,income,1470,1470,1470
20230315,닭,육계(kg),육계(kg),korea,6023,6023,6023
20230315,계란,특란10구,일반란,korea,3779,3779,3779
20230315,계란,특란30구,일반란,korea,6028,6028,6028
20230315,우유,흰우유,흰우유,korea,2883,2883,2883
20230316,소,안심,1++등급,korea,14827,14827,14827
20230316,소,안심,1+등급,korea,13207,13207,13207
